,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
0,42005,2544,0040500207,"MAY 21, 2006",CLE @ DET,L,47,11,24,0.458,0,4,0.0,5,8,0.625,3,5,8,2,1,0,3,2,27,-16,0,2005-06,Playoffs
1,42005,2544,0040500206,"MAY 19, 2006",CLE vs. DET,L,48,8,20,0.4,1,5,0.2,15,18,0.833,0,11,11,5,1,1,7,2,32,-2,0,2005-06,Playoffs
2,42005,2544,0040500205,"MAY 17, 2006",CLE @ DET,W,47,13,30,0.433,1,4,0.25,5,7,0.714,3,2,5,5,2,1,2,3,32,2,0,2005-06,Playoffs
3,42005,2544,0040500204,"MAY 15, 2006",CLE vs. DET,W,48,8,23,0.348,1,2,0.5,5,10,0.5,1,7,8,9,2,2,8,3,22,2,0,2005-06,Playoffs
4,42005,2544,0040500203,"MAY 13, 2006",CLE vs. DET,W,48,9,18,0.5,1,4,0.25,2,2,1.0,0,10,10,10,4,1,4,2,21,9,0,2005-06,Playoffs
5,42005,2544,0040500202,"MAY 09, 2006",CLE @ DET,L,47,11,23,0.478,2,5,0.4,6,8,0.75,2,12,14,7,0,0,3,4,30,-4,0,2005-06,Playoffs
6,42005,2544,0040500201,"MAY 07, 2006",CLE @ DET,L,36,9,18,0.5,2,5,0.4,2,2,1.0,1,3,4,4,0,0,4,3,22,-31,0,2005-06,Playoffs
7,42005,2544,0040500136,"MAY 05, 2006",CLE @ WAS,W,53,15,25,0.6,1,6,0.167,1,3,0.333,0,7,7,7,2,1,5,4,32,1,0,2005-06,Playoffs
8,42005,2544,0040500135,"MAY 03, 2006",CLE vs. WAS,W,46,14,23,0.609,0,1,0.0,17,18,0.944,5,2,7,6,2,0,4,5,45,-4,0,2005-06,Playoffs
9,42005,2544,0040500134,"APR 30, 2006",CLE @ WAS,L,45,13,23,0.565,7,12,0.583,5,7,0.714,1,5,6,5,0,0,7,5,38,-16,0,2005-06,Playoffs
10,42005,2544,0040500133,"APR 28, 2006",CLE @ WAS,W,48,16,28,0.571,3,5,0.6,6,9,0.667,1,4,5,3,2,0,4,3,41,1,0,2005-06,Playoffs
11,42005,2544,0040500132,"APR 25, 2006",CLE vs. WAS,L,44,7,25,0.28,1,6,0.167,11,15,0.733,2,7,9,2,2,3,10,5,26,-2,0,2005-06,Playoffs
12,42005,2544,0040500131,"APR 22, 2006",CLE vs. WAS,W,48,12,27,0.444,1,4,0.25,7,11,0.636,3,8,11,11,0,0,4,3,32,11,0,2005-06,Playoffs
0,22005,2544,0020501197,"APR 16, 2006",CLE @ WAS,L,29,8,16,0.5,0,0,0.0,1,2,0.5,0,5,5,4,1,1,3,2,17,-17,0,2005-06,Regular
1,22005,2544,0020501167,"APR 12, 2006",CLE @ DET,L,31,8,18,0.444,0,3,0.0,6,8,0.75,0,3,3,1,0,0,2,0,22,-11,0,2005-06,Regular
2,22005,2544,0020501152,"APR 10, 2006",CLE @ NOK,W,42,12,24,0.5,0,3,0.0,8,12,0.667,1,3,4,6,0,0,2,1,32,3,0,2005-06,Regular
3,22005,2544,0020501133,"APR 08, 2006",CLE @ NJN,W,44,12,26,0.462,0,3,0.0,13,16,0.813,1,4,5,7,1,0,6,5,37,5,0,2005-06,Regular
4,22005,2544,0020501113,"APR 05, 2006",CLE @ NYK,L,45,12,24,0.5,4,7,0.571,8,14,0.571,0,2,2,7,3,0,5,3,36,-2,0,2005-06,Regular
5,22005,2544,0020501097,"APR 04, 2006",CLE vs. PHI,W,35,13,22,0.591,4,10,0.4,7,9,0.778,1,3,4,7,4,0,3,4,37,15,0,2005-06,Regular
6,22005,2544,0020501092,"APR 02, 2006",CLE @ CHA,W,41,13,24,0.542,2,5,0.4,7,9,0.778,1,11,12,8,1,2,3,5,35,2,0,2005-06,Regular
7,22005,2544,0020501079,"APR 01, 2006",CLE vs. MIA,W,45,16,25,0.64,2,6,0.333,13,14,0.929,4,8,12,9,2,0,4,3,47,13,0,2005-06,Regular
8,22005,2544,0020501057,"MAR 29, 2006",CLE vs. DAL,W,44,16,23,0.696,4,7,0.571,10,13,0.769,0,5,5,4,3,0,2,3,46,16,0,2005-06,Regular
9,22005,2544,0020501033,"MAR 26, 2006",CLE @ HOU,W,49,14,34,0.412,0,4,0.0,8,11,0.727,3,3,6,5,2,0,2,2,36,4,0,2005-06,Regular
10,22005,2544,0020501022,"MAR 24, 2006",CLE vs. BOS,W,45,13,26,0.5,4,8,0.5,6,8,0.75,3,4,7,8,2,3,0,2,36,8,0,2005-06,Regular
11,22005,2544,0020501004,"MAR 22, 2006",CLE vs. CHA,W,50,10,21,0.476,1,5,0.2,16,23,0.696,0,11,11,12,0,1,5,4,37,5,0,2005-06,Regular
12,22005,2544,0020500981,"MAR 19, 2006",CLE vs. LAL,W,47,10,24,0.417,3,4,0.75,6,10,0.6,1,7,8,7,1,0,7,3,29,0,0,2005-06,Regular
13,22005,2544,0020500970,"MAR 17, 2006",CLE vs. POR,W,45,9,23,0.391,1,6,0.167,8,10,0.8,2,7,9,5,6,0,1,2,27,14,0,2005-06,Regular
14,22005,2544,0020500946,"MAR 14, 2006",CLE @ DAL,L,45,14,27,0.519,0,2,0.0,8,8,1.0,1,11,12,5,0,2,4,1,36,-8,0,2005-06,Regular
15,22005,2544,0020500929,"MAR 12, 2006",CLE @ MIA,L,45,11,27,0.407,1,6,0.167,24,28,0.857,2,5,7,4,0,1,5,2,47,-7,0,2005-06,Regular
16,22005,2544,0020500911,"MAR 10, 2006",CLE @ ORL,L,39,9,22,0.409,2,6,0.333,5,6,0.833,2,5,7,2,2,1,5,0,25,-18,0,2005-06,Regular
17,22005,2544,0020500897,"MAR 08, 2006",CLE @ TOR,W,44,13,24,0.542,1,3,0.333,8,12,0.667,1,5,6,6,1,0,0,2,35,-4,0,2005-06,Regular
18,22005,2544,0020500891,"MAR 07, 2006",CLE vs. TOR,W,44,5,17,0.294,2,6,0.333,5,6,0.833,1,11,12,8,1,0,2,2,17,14,0,2005-06,Regular
19,22005,2544,0020500879,"MAR 05, 2006",CLE vs. CHI,W,47,15,28,0.536,1,3,0.333,6,6,1.0,0,9,9,7,2,0,3,3,37,23,0,2005-06,Regular
20,22005,2544,0020500855,"MAR 02, 2006",CLE @ CHI,W,47,11,27,0.407,0,3,0.0,11,13,0.846,2,9,11,8,0,1,5,4,33,4,0,2005-06,Regular
21,22005,2544,0020500844,"MAR 01, 2006",CLE vs. SAC,L,45,7,21,0.333,1,4,0.25,4,7,0.571,1,6,7,12,1,2,5,1,19,-5,0,2005-06,Regular
22,22005,2544,0020500829,"FEB 27, 2006",CLE vs. DET,L,46,9,22,0.409,0,3,0.0,8,10,0.8,1,3,4,6,0,1,5,0,26,-10,0,2005-06,Regular
23,22005,2544,0020500822,"FEB 26, 2006",CLE @ DET,L,38,9,20,0.45,2,3,0.667,2,3,0.667,1,8,9,7,0,0,3,3,22,-17,0,2005-06,Regular
24,22005,2544,0020500805,"FEB 24, 2006",CLE vs. WAS,L,48,7,21,0.333,3,8,0.375,8,19,0.421,0,7,7,9,1,0,4,2,25,-8,0,2005-06,Regular
25,22005,2544,0020500791,"FEB 22, 2006",CLE @ PHI,L,43,13,24,0.542,1,4,0.25,6,10,0.6,3,3,6,5,2,1,6,3,33,-7,0,2005-06,Regular
26,22005,2544,0020500780,"FEB 21, 2006",CLE vs. ORL,W,43,10,24,0.417,1,5,0.2,5,7,0.714,0,2,2,9,1,2,2,0,26,21,0,2005-06,Regular
27,22005,2544,0020500767,"FEB 15, 2006",CLE @ BOS,W,54,16,32,0.5,0,5,0.0,11,15,0.733,1,11,12,11,2,4,2,5,43,5,0,2005-06,Regular
28,22005,2544,0020500758,"FEB 13, 2006",CLE vs. SAS,W,41,19,33,0.576,1,3,0.333,5,8,0.625,2,1,3,5,4,0,2,0,44,12,0,2005-06,Regular
29,22005,2544,0020500737,"FEB 11, 2006",CLE vs. GSW,L,44,10,17,0.588,5,6,0.833,8,8,1.0,1,4,5,6,1,2,2,5,33,-15,0,2005-06,Regular
30,22005,2544,0020500725,"FEB 10, 2006",CLE @ WAS,L,45,6,23,0.261,0,3,0.0,6,8,0.75,1,8,9,8,1,0,2,2,18,-13,0,2005-06,Regular
31,22005,2544,0020500719,"FEB 08, 2006",CLE @ MIN,W,46,11,34,0.324,1,5,0.2,12,17,0.706,1,10,11,8,1,0,0,3,35,10,0,2005-06,Regular
32,22005,2544,0020500707,"FEB 06, 2006",CLE vs. MIL,W,45,9,20,0.45,2,7,0.286,2,4,0.5,0,9,9,12,0,2,4,4,22,-3,0,2005-06,Regular
33,22005,2544,0020500687,"FEB 04, 2006",CLE vs. PHI,L,47,10,17,0.588,2,7,0.286,9,10,0.9,2,2,4,6,2,1,4,0,31,-7,0,2005-06,Regular
34,22005,2544,0020500674,"FEB 02, 2006",CLE @ MIA,L,39,12,29,0.414,2,5,0.4,3,3,1.0,1,4,5,7,1,0,1,0,29,-15,0,2005-06,Regular
35,22005,2544,0020500663,"FEB 01, 2006",CLE vs. NJN,W,44,8,21,0.381,0,2,0.0,10,12,0.833,0,11,11,10,1,1,4,2,26,5,0,2005-06,Regular
36,22005,2544,0020500648,"JAN 30, 2006",CLE @ CHA,W,32,11,19,0.579,2,6,0.333,6,11,0.545,1,5,6,6,5,1,4,2,30,30,0,2005-06,Regular
37,22005,2544,0020500642,"JAN 29, 2006",CLE vs. PHX,W,43,17,33,0.515,3,7,0.429,7,12,0.583,1,10,11,7,1,1,6,1,44,5,0,2005-06,Regular
